state,n,median,mean,std,frac_left,frac_right,polarization,gmm_k,gmm_pi1,gmm_mu1,gmm_sig1,gmm_pi2,gmm_mu2,gmm_sig2
MO,1333,-0.018577891719670128,-0.016432647784767357,0.30448985394196587,0.5131282820705176,0.48687171792948236,0.27056967413852623,2,0.4933475813650068,-0.28577930546264674,0.13850762383957765,0.5066524186349931,0.24584088970694176,0.157749592144473
MS,432,0.0063892301103256124,-0.0002201507577388544,0.31307854749939384,0.4930555555555556,0.5069444444444444,0.27875538249135334,2,0.4673050270566404,-0.29334288533902775,0.1411348043633915,0.5326949729433597,0.25692086684482474,0.15823054954508134
MT,223,-0.03837986563027689,-0.03391726834396044,0.2829365650113548,0.5605381165919282,0.43946188340807174,0.24557864012405356,2,0.502806266654488,-0.26708240587326604,0.143583748381995,0.497193733345512,0.2018799359494808,0.17199667684168693
NC,1891,-0.09424587623964298,-0.05151707878827301,0.3005887666775883,0.5769434161819144,0.4230565838180857,0.2703114493882694,2,0.5494883435399334,-0.28768059471685586,0.14093754211905227,0.45051165646006663,0.23653118214205507,0.15916764341950385
ND,145,0.03424380165548083,0.02360798220759061,0.27934014730748097,0.46206896551724136,0.5379310344827586,0.24179481602235797,2,0.47581328705844267,-0.21969647394697728,0.15976701044992372,0.5241867129415572,0.24445961804785063,0.15226051902672788
NE,335,-0.051520360902652954,-0.028855901400467125,0.29382129276651453,0.5164179104477612,0.4835820895522388,0.25765200540525995,2,0.4991574923181524,-0.27876854854878375,0.1446199977978196,0.5008425076818477,0.22021594920289214,0.1650632655877709
NH,355,-0.09165354876560734,-0.045560109863597244,0.26475841238112685,0.5887323943661972,0.4112676056338028,0.23354398191901451,2,0.5923662887677481,-0.2287330233097961,0.14345059400753468,0.40763371123225195,0.22062361329535202,0.14982698071322792
NJ,1624,-0.14132100068768788,-0.07356559129731498,0.290601091477349,0.603448275862069,0.39655172413793105,0.26726409913680454,2,0.5804075747050021,-0.2892201500028103,0.1305485052191507,0.4195924252949979,0.22474184193228597,0.1561191169362695
NM,353,-0.08890252613441106,-0.038973450030872936,0.3065059977775534,0.5609065155807366,0.43909348441926344,0.2740473581071354,2,0.5588712899603229,-0.27565860928190133,0.14675111887095138,0.441128710039677,0.26088583650975844,0.1574722440761473
NV,682,-0.08974985676814497,-0.04667852572399239,0.3046432863225987,0.5733137829912024,0.42668621700879766,0.27393583227237206,2,0.565908202021554,-0.27908318848133756,0.14670028156766363,0.43409179797844594,0.25629818439796476,0.1534118606579348
NY,3537,-0.16472632330066253,-0.099068288056355,0.285612553543715,0.6494204127791914,0.3505795872208086,0.2684196944648344,2,0.6091994361182553,-0.29531677173895765,0.13023104387412493,0.39080056388174456,0.2068536492381903,0.16934079393379242
OH,2495,-0.08410917900978923,-0.04055521793660837,0.2979545239232312,0.5615230460921844,0.43847695390781566,0.26606616890252066,2,0.5497792333597706,-0.27396698226208926,0.14398474970276395,0.4502207666402293,0.244471485308643,0.15525022062426472
OK,529,0.04194612671115919,0.023718443168355065,0.2940061341373961,0.46502835538752363,0.5349716446124764,0.2595405098373955,2,0.4650537053613142,-0.24717329782773717,0.14616095378578722,0.5349462946386859,0.25921723840180777,0.15414673620684916
OR,890,-0.15183954333953115,-0.08941517549234736,0.2921646732644072,0.6359550561797753,0.36404494382022473,0.2685424220225289,2,0.6073755516524567,-0.2876850840626236,0.14207033623615867,0.3926244483475432,0.217301065945976,0.17691945418990454
PA,3039,-0.06736201084298639,-0.02825681994701212,0.3066326223572691,0.5432708127673577,0.45672918723264233,0.2748704999479089,2,0.5418375451058316,-0.27613487063000114,0.14444276400247838,0.45816245489416846,0.2648916758168187,0.14814117299232282
RI,186,-0.13950407794562816,-0.10300636930459331,0.2575044995659322,0.6774193548387096,0.3225806451612903,0.235031334517371,2,0.5357660564320044,-0.2863421684898875,0.13084415249513076,0.46423394356799574,0.10857897358821496,0.19879343107625147
SC,1034,-0.016070424324166388,-0.005412904171659908,0.3040421921310819,0.5125725338491296,0.4874274661508704,0.2685915182574058,2,0.5196300355234784,-0.25855047882349297,0.15418529640760487,0.48036996447652147,0.2684133061160738,0.14975976989766837
SD,154,0.08713959562886756,0.047043474040294256,0.29961295034065605,0.43506493506493504,0.564935064935065,0.26411020944089236,2,0.47632534631564527,-0.21732285723441241,0.17698180369179134,0.5236746536843547,0.28750648559273484,0.14675806049666798
TN,1372,0.012594794837981628,0.0038601199365032347,0.30046684421992415,0.4934402332361516,0.5065597667638484,0.26613099119812916,2,0.4942451522861737,-0.2603320700785129,0.14992743554467736,0.5057548477138262,0.2620399669059062,0.14722586191120016
TX,4197,-0.060602891812379815,-0.029563152393660898,0.29910010696358424,0.5482487491065047,0.4517512508934953,0.26555908925507005,2,0.5363778051521109,-0.2700622817869228,0.1439435124046349,0.4636221948478891,0.24867718337644806,0.1570266923629944
UT,490,0.024160217473050728,0.01177559499552434,0.2885616774758361,0.47959183673469385,0.5204081632653061,0.2534679139642963,2,0.48558420272667646,-0.24253078687809818,0.15066721869725044,0.5144157972733235,0.2518288016523887,0.14754587400155494
VA,1773,-0.11202977284510626,-0.06670672581174573,0.29452780098989606,0.5961646926113932,0.4038353073886069,0.266967006151923,2,0.567170874634381,-0.28820823722152794,0.1382321972560666,0.432829125365619,0.22354455026169864,0.16384197541479154
VT,146,-0.13118561571011633,-0.09665639378074618,0.23620203107306875,0.678082191780822,0.3219178082191781,0.21898693990754312,2,0.6317891214641375,-0.23746839832955755,0.13080658992760888,0.36821087853586254,0.1449537753681073,0.1725320397197993
WA,1316,-0.1371018934803724,-0.09067099048506991,0.28170844728671146,0.6458966565349544,0.3541033434650456,0.2602923385271543,2,0.6142290144936792,-0.27940338140998633,0.1414206482620055,0.38577098550632083,0.20983090010863742,0.16388975652539034
WI,1186,-0.09259879246194634,-0.0478462900020857,0.2949665897640827,0.5615514333895447,0.43844856661045534,0.26422840152647953,2,0.5428061580422527,-0.2820385267315937,0.1377739155740431,0.4571938419577472,0.23019986153425576,0.15919497216079903
WV,429,0.062346160552792906,0.030331836864849665,0.29457022974760466,0.44755244755244755,0.5524475524475524,0.2605703725623154,2,0.4451509894130237,-0.2517642075341641,0.15253205249084079,0.5548490105869763,0.25665527058761095,0.1505198244360927
WY,92,0.04331728590905798,0.041042750902781255,0.2955500347284087,0.45652173913043476,0.5434782608695652,0.2616290526383718,2,0.5228909662558312,-0.19972712287793834,0.17390368116436067,0.4771090337441688,0.30491616985380865,0.1295266255719461
